source,target,lag,p_value,p_value_fdr,strength
CTRL_cluster_2_ratio,CTRL_cluster_3_ratio,1,7.713666201375931e-06,8.917127691253693e-05,0.2945177525256606
difficulty_std,avg_response_time,2,0.0020460798371188613,0.017459881276747618,-0.20452585818965552
avg_difficulty,CTRL_cluster_2_ratio,2,0.0022445481542042287,0.01795638523363383,-0.20273005996195304
