source,target,lag,p_value,p_value_fdr,strength
CTRL_cluster_2_ratio,CTRL_cluster_3_ratio,1,8.150046542866206e-07,1.1410065160012688e-05,0.3211060410062388
CTRL_cluster_1_ratio,avg_difficulty,1,0.0006839200044474668,0.0060931054941683405,-0.224744932196126
avg_success,difficulty_std,1,0.000661852761261196,0.0060931054941683405,-0.22532306136331592
CTRL_cluster_3_ratio,avg_difficulty,1,0.0007737340516888845,0.006318828088792557,-0.2230459744472792
avg_success,difficulty_std,2,0.0024162607529190847,0.018109653462502907,-0.20173391527693163
difficulty_std,avg_response_time,2,0.0025870933517861297,0.018109653462502907,-0.19994571339045367
